substancename,nonproprietaryname,proprietaryname,labelername,producttypename,dosageformname,routename,marketingcategoryname,active_numerator_strength,active_ingred_unit
BRAZIL NUT,Brazil Nut,BRAZIL NUT,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.1,g
BROCCOLI,Broccoli,BROCCOLI,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.1,g
BROMUS INERMIS POLLEN,Brome Grass,BROMUS INERMIS POLLEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.1,g
BUCKWHEAT,Buckwheat,BUCKWHEAT,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.1,g
CABBAGE,Cabbage,CABBAGE,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.1,g
CANDIDA ALBICANS,CANDIDA ALBICANS,CANDIDA ALBICANS,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.01,g
CANIS LUPUS FAMILIARIS SKIN,DOG EPITHELIA,CANIS LUPUS FAMILIARIS SKIN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.1,g
CANTALOUPE,Cantaloupe,CANTALOUPE,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.1,g
CARROT,Carrot,CARROT,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.1,g
CARYA ILLINOINENSIS POLLEN,Pecan Pollen,CARYA ILLINOINENSIS POLLEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.1,g
CARYA OVATA POLLEN,Shagbark Hickory,CARYA OVATA POLLEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.05,g
CASEIN,Casein,CASEIN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.01,g
CASUARINA EQUISETIFOLIA POLLEN,Pine Australian Beefwood,CASUARINA EQUISETIFOLIA POLLEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.1,g
CAVIA PORCELLUS SKIN,GUINEA PIG EPITHELIA,CAVIA PORCELLUS SKIN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.05,g
CEIBA PENTANDRA FIBER,KAPOK,CEIBA PENTANDRA FIBER,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.05,g
CELERY,Celery,CELERY,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.1,g
CELTIS OCCIDENTALIS POLLEN,Hackberry,CELTIS OCCIDENTALIS POLLEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.1,g
CHAETOMIUM GLOBOSUM,CHAETOMIUM GLOBOSUM,CHAETOMIUM GLOBOSUM,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,20000,[PNU]
CHENOPODIUM ALBUM POLLEN,Lambs Quarters,CHENOPODIUM ALBUM POLLEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.1,g
CHENOPODIUM AMBROSIOIDES POLLEN,Mexican Tea,CHENOPODIUM AMBROSIOIDES POLLEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.05,g
CHERRY,Cherry,CHERRY,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.1,g
CHICKEN,Chicken Meat,CHICKEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.1,g
CINNAMON,Cinnamon,CINNAMON,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.1,g
CLADOSPORIUM CLADOSPORIOIDES,CLADOSPORIUM CLADOSPORIOIDES,CLADOSPORIUM CLADOSPORIOIDES,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,20000,[PNU]
CLADOSPORIUM SPHAEROSPERMUM,CLADOSPORIUM SPHAEROSPERMUM,CLADOSPORIUM SPHAEROSPERMUM,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,10000,[PNU]
CLAM,Clam,CLAM,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.1,g
COCHLIOBOLUS SATIVUS,HELMINTHOSPORIUM SOROKINIANUM,COCHLIOBOLUS SATIVUS,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,20000,[PNU]
COCOA BEAN,Cocoa Bean Whole Bean Chocolate,COCOA BEAN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.1,g
COCONUT,Coconut,COCONUT,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.1,g
CODFISH,Codfish,CODFISH,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.1,g
COFFEE BEAN,Coffee,COFFEE BEAN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.1,g
CORN,Sweet Corn,CORN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.1,g
CORYLUS AMERICANA POLLEN,Hazelnut Pollen,CORYLUS AMERICANA POLLEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.1,g
COTTON FIBER,COTTON LINTERS,COTTON FIBER,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.05,g
COTTON SEED,COTTONSEED,COTTON SEED,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.05,g
COW MILK,Milk Whole Cows,COW MILK,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.1,g
CRAB,Crab,CRAB,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.1,g
CUCUMBER,Cucumber,CUCUMBER,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.1,g
CULEX PIPIENS,CULEX PIPIENS,MOSQUITO,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.01,g
CULTIVATED MUSHROOM,Mushroom Agaricus spp,MUSHROOM,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.1,g
CUPRESSUS ARIZONICA POLLEN,Cypress Arizona,CUPRESSUS ARIZONICA POLLEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.1,g
CURVULARIA INAEQUALIS,CURVULARIA INAEQUALIS,CURVULARIA,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,20000,[PNU]
CYCLACHAENA XANTHIFOLIA POLLEN,Marshelder Burweed,IVA XANTHIFOLIA POLLEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.1,g
CYNODON DACTYLON POLLEN,Bermuda Grass,Bermuda Grass/ Standardized,ALK-Abello Inc,HUMAN PRESCRIPTION DRUG,INJECTION,SUBCUTANEOUS,BLA,10000,[BAU]
DERMATOPHAGOIDES FARINAE,Standardized Mite D. farinae,Standardized Mite D. farinae,ALK-Abello Inc,HUMAN PRESCRIPTION DRUG,INJECTION,SUBCUTANEOUS,BLA,10000,[AU]
DERMATOPHAGOIDES PTERONYSSINUS,Standardized Mite D. pteronyssinus,Standardized Mite D. pteronyssinus,ALK-Abello Inc,HUMAN PRESCRIPTION DRUG,INJECTION,SUBCUTANEOUS,BLA,10000,[AU]
DISTICHLIS SPICATA POLLEN,Salt Grass,DISTICHLIS SPICATA POLLEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.1,g
EGG,Whole Egg,EGG,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.01,g
EGG WHITE,Egg White,EGG WHITE,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.01,g
EGG YOLK,Egg Yolk,EGG YOLK,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.01,g
ELYMUS REPENS POLLEN,Quack Grass,ELYMUS REPENS POLLEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.1,g
ENGLISH WALNUT,English Walnut,ENGLISH WALNUT,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.1,g
EPICOCCUM NIGRUM,EPICOCCUM NIGRUM,EPICOCCUM NIGRUM,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,20000,[PNU]
EQUUS CABALLUS SKIN,HORSE EPITHELIA,EQUUS CABALLUS SKIN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.1,g
EUCALYPTUS GLOBULUS POLLEN,Eucalyptus,EUCALYPTUS GLOBULUS POLLEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.1,g
EUPATORIUM CAPILLIFOLIUM POLLEN,Dog Fennel,EUPATORIUM CAPILLIFOLIUM POLLEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.1,g
FAGUS GRANDIFOLIA POLLEN,Beech,FAGUS GRANDIFOLIA POLLEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.1,g
FELIS CATUS HAIR,Cat Hair,Cat Hair/ Standardized,ALK-Abello Inc,HUMAN PRESCRIPTION DRUG,INJECTION,SUBCUTANEOUS,BLA,10000,[BAU]
FELIS CATUS SKIN,Cat Pelt,Cat Pelt/ Standardized,ALK-Abello Inc,HUMAN PRESCRIPTION DRUG,INJECTION,SUBCUTANEOUS,BLA,10000,[BAU]
FESTUCA PRATENSIS POLLEN,Meadow Fescue Grass,Meadow Fescue Grass/ Standardized,ALK-Abello Inc,HUMAN PRESCRIPTION DRUG,INJECTION,SUBCUTANEOUS,BLA,100000,[BAU]
FLOUNDER,Flounder,FLOUNDER,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.1,g
FRAXINUS AMERICANA POLLEN,Ash White,FRAXINUS AMERICANA POLLEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.001,g
FRAXINUS VELUTINA POLLEN,Ash Arizona,FRAXINUS VELUTINA POLLEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.1,g
FUSARIUM OXYSPORUM VASINFECTUM,FUSARIUM VASINFECTUM,FUSARIUM OXYSPORUM VASINFECTUM,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,20000,[PNU]
GARLIC,Garlic,GARLIC,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.1,g
GOAT MILK,Goat Milk,GOAT MILK,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.1,g
GRAPE,White Seedless Grape,GRAPE,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.1,g
GRAPEFRUIT,Grapefruit,GRAPEFRUIT,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.1,g
GREEN BELL PEPPER,Bell,GREEN BELL PEPPER,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.1,g
HELMINTHOSPORIUM SOLANI,HELMINTHOSPORIUM SOLANI,HELMINTHOSPORIUM SOLANI,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,40000,[PNU]
HISTAMINE PHOSPHATE,histamine phosphate,histamine positive,ALK-Abello Inc,HUMAN PRESCRIPTION DRUG,INJECTION,INTRADERMAL,BLA,0.275,mg
HOLCUS LANATUS POLLEN,Velvet Grass,HOLCUS LANATUS POLLEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.1,g
HONEYDEW MELON,Honeydew,HONEYDEW MELON,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.1,g
HOUSE DUST,House Dust,HOUSE DUST,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,10000,[PNU]
IRIS GERMANICA ROOT,IRIS GERMANICA ROOT,ORRIS,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.05,g
IVA ANNUA POLLEN,Marshelder Rough,IVA ANNUA VAR ANNUA POLLEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.1,g
IVA ANNUA VAR. ANNUA POLLEN,Rough Marshelder,IVA ANNUA VAR ANNUA POLLEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.05,g
IVA XANTHIFOLIA POLLEN,Burweed Marshelder,IVA XANTHIFOLIA POLLEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.05,g
JUGLANS NIGRA POLLEN,Walnut Black Pollen,JUGLANS NIGRA POLLEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.1,g
JUGLANS REGIA POLLEN,Walnut English Pollen,JUGLANS REGIA POLLEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.1,g
JUNIPERUS ASHEI POLLEN,Cedar Mountain,JUNIPERUS ASHEI POLLEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.1,g
JUNIPERUS CALIFORNICA POLLEN,Juniper Western,JUNIPERUS CALIFORNICA POLLEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.1,g
JUNIPERUS VIRGINIANA POLLEN,Cedar Red,JUNIPERUS VIRGINIANA POLLEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.1,g
KARAYA GUM,Karaya Gum Bassora,KARAYA GUM,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.005,g
KHUSKIA ORYZAE,Nigrospora spp,KHUSKIA ORYZAE,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.1,g
KOCHIA SCOPARIA POLLEN,Kochia Firebush,KOCHIA SCOPARIA POLLEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.05,g
LAMB,Lamb,LAMB,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.1,g
LEMON,Lemon,LEMON,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.1,g
LETTUCE,Lettuce,LETTUCE,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.1,g
LIGUSTRUM VULGARE POLLEN,Privet,LIGUSTRUM VULGARE POLLEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.1,g
LIMA BEAN,Lima Bean,LIMA BEAN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.1,g
LIQUIDAMBAR STYRACIFLUA POLLEN,Sweetgum,LIQUIDAMBAR STYRACIFLUA POLLEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.1,g
LOBSTER,Lobster,LOBSTER,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.1,g
LOLIUM MULTIFLORUM POLLEN,Rye Grass Italian,LOLIUM PERENNE SSP MULTIFLORUM POLLEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.05,g
LOLIUM PERENNE SSP. MULTIFLORUM POLLEN,Italian Rye Grass,LOLIUM PERENNE SSP MULTIFLORUM POLLEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.05,g
MEDICAGO SATIVA POLLEN,Alfalfa,MEDICAGO SATIVA POLLEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.05,g
MELALEUCA QUINQUENERVIA POLLEN,Melaleuca Pollen,MELALEUCA QUINQUENERVIA POLLEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.1,g
MORELLA CERIFERA POLLEN,Bayberry Wax Myrtle,MORELLA CERIFERA POLLEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.1,g
MORUS ALBA POLLEN,Mulberry White,MORUS ALBA POLLEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.1,g
MORUS RUBRA POLLEN,Mulberry Red,MORUS RUBRA POLLEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.1,g
MUCOR PLUMBEUS,MUCOR PLUMBEUS,MUCOR PLUMBEUS,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,20000,[PNU]
MUS MUSCULUS SKIN,MOUSE EPITHELIA,MUS MUSCULUS SKIN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.05,g
MUSTARD SEED,Mustard Seed,MUSTARD SEED,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.1,g
NEUROSPORA INTERMEDIA,NEUROSPORA INTERMEDIA,NEUROSPORA INTERMEDIA,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,40000,[PNU]
OAT,Oat Grain,OAT,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.1,g
OLEA EUROPAEA POLLEN,Olive Pollen,OLEA EUROPAEA POLLEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.1,g
ONION,Onion,ONION,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.1,g
ORANGE,Orange,ORANGE,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.1,g
ORRIS,Orris Root,ORRIS,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.05,g
OYSTER,Oyster,OYSTER,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.1,g
PASPALUM NOTATUM POLLEN,Bahia Grass,PASPALUM NOTATUM POLLEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.001,g
PEA,Green Pea English,PEA,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.1,g
PEACH,Peach,PEACH,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.1,g
PEANUT,Peanut,PEANUT,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.1,g
PEAR,Pear,PEAR,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.1,g
PECAN,Pecan,PECAN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.1,g
PENICILLIUM CHRYSOGENUM VAR. CHRYSOGENUM,PENICILLIUM CHRYSOGENUM,PENICILLIUM CHRYSOGENUM VAR CHRYSOGENUM,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,20000,[PNU]
PERIPLANETA AMERICANA,AMERICAN COCKROACH,PERIPLANETA AMERICANA,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,10000,[PNU]
PHLEUM PRATENSE POLLEN,Timothy,Timothy/ Standardized,ALK-Abello Inc,HUMAN PRESCRIPTION DRUG,INJECTION,SUBCUTANEOUS,BLA,100000,[BAU]
PHOMA EXIGUA VAR. EXIGUA,PHOMA HERBARUM,PHOMA EXIGUA VAR EXIGUA,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,20000,[PNU]
PINEAPPLE,Pineapple,PINEAPPLE,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.1,g
PINUS ECHINATA POLLEN,Pine Yellow,PINUS ECHINATA POLLEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.1,g
PINUS STROBUS POLLEN,Pine White,PINUS STROBUS POLLEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.1,g
PISTACHIO,Pistachio Nut,PISTACHIO,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.1,g
PLANTAGO LANCEOLATA POLLEN,Plantain English,PLANTAGO LANCEOLATA POLLEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.1,g
PLATANUS OCCIDENTALIS POLLEN,Sycamore American,PLATANUS OCCIDENTALIS POLLEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.1,g
PLUM,Plum,PLUM,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.1,g
POA ANNUA POLLEN,Bluegrass Annual,POA ANNUA POLLEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.1,g
POA PRATENSIS POLLEN,Kentucky Bluegrass (June),Kentucky Bluegrass (June)/ Standardized,ALK-Abello Inc,HUMAN PRESCRIPTION DRUG,INJECTION,SUBCUTANEOUS,BLA,100000,[BAU]
POPULUS ALBA POLLEN,Poplar White,POPULUS ALBA POLLEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.1,g
POPULUS DELTOIDES POLLEN,Cottonwood Eastern Common,POPULUS DELTOIDES POLLEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.1,g
POPULUS DELTOIDES SUBSP. MONILIFERA POLLEN,Cottonwood Western,POPULUS DELTOIDES SSP MONILIFERA POLLEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.1,g
POPULUS FREMONTII POLLEN,Cottonwood Fremont,POPULUS FREMONTII POLLEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.1,g
POPULUS TREMULOIDES POLLEN,Aspen,POPULUS TREMULOIDES POLLEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.1,g
PORK,Pork,PORK,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.1,g
POTATO,Sweet Potato,POTATO,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.1,g
PROSOPIS JULIFLORA POLLEN,Mesquite,PROSOPIS JULIFLORA POLLEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.1,g
PYRETHRUM CINERARIIFOLIUM,Pyrethrum,PYRETHRUM CINERARIIFOLIUM,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,PERCUTANEOUS,BLA,0.05,g
QUERCUS AGRIFOLIA POLLEN,Oak California Live Coast,QUERCUS AGRIFOLIA POLLEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.1,g
QUERCUS ALBA POLLEN,Oak White,QUERCUS ALBA POLLEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.1,g
QUERCUS RUBRA POLLEN,Oak Red,QUERCUS RUBRA POLLEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.1,g
QUERCUS VIRGINIANA POLLEN,Oak Virginia Live,QUERCUS VIRGINIANA POLLEN,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,0.1,g
RABBIT,RABBIT,RABBIT,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,10000,[PNU]
RHIZOPUS ARRHIZUS VAR. ARRHIZUS,RHIZOPUS BATATAS,RHIZOPUS ARRHIZUS VAR ARRHIZUS,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,20000,[PNU]
RHODOTORULA RUBRA,RHODOTORULA RUBRA,RHODOTORULA RUBRA,ALK-Abello Inc,NON-STANDARDIZED ALLERGENIC,INJECTION,SUBCUTANEOUS,BLA,40000,[PNU]
